,cluster_id,product_id,product_name,brand,link,listed_price
84,227.0,344315,Escoba VIRULANA para exteriores,VIRULANA,https://www.devoto.com.uy/escoba-virulana-para-exteriores-344315/p,335.0
85,227.0,810341,Fleco mari KLINER repuesto,KLINER,https://www.devoto.com.uy/fleco-mari-kliner-repuesto-810341/p,231.0
86,227.0,810775,Fleco Mopy VIRULANA de Algodón,VIRULANA,https://www.devoto.com.uy/fleco-mopy-de-algodon-virulana-810775/p,273.0
87,227.0,344983,Lampazo PRECIO LIDER 41 cm,PRECIO LÍDER,https://www.devoto.com.uy/lampazo-precio-lider-41-cm--344983/p,169.0
88,227.0,814774,Lampazo Chico BETTANIN 30 cm,BETTANIN,https://www.devoto.com.uy/lampazo-chico-bettanin-30-cm-814774/p,316.0
89,227.0,818744,Lampazo limpia vidrios EFECE 30 cm,EFECE,https://www.devoto.com.uy/lampazo-limpia-vidrios-efece-30-cm-818744/p,397.0
90,227.0,344318,Pala VIRULANA plastica,VIRULANA,https://www.devoto.com.uy/pala-virulana-plastica-344318/p,114.0
91,228.0,954101,Gel modelador STILL fijación suave 200 ml,STILL,https://www.devoto.com.uy/gel-modelador-still-fijacion-suave-fco-200-ml-954101/p,166.0
92,228.0,954629,Bálsamo URBAN CARE After Shave,URBAN CARE,https://www.devoto.com.uy/balsamo-after-shave-urban-care-954629/p,269.0
93,228.0,953475,Crema dental COLGATE triple acción 90 g,COLGATE,https://www.devoto.com.uy/crema-dental-colgate-triple-accion-90-g-953475/p,160.0
94,228.0,952268,Desodorante deo roll on NIVEA for men 50 ml,NIVEA,https://www.devoto.com.uy/desodorante-deo-roll-on-nivea-for-me-50-ml-952268/p,165.0
95,228.0,900075,Toalla Femenina MIMOSA Clásica con Alas 8 un.,MIMOSA,https://www.devoto.com.uy/toalla-femenina-mimosa-clasica-con-alas-8-un-900075/p,59.0
96,228.0,900076,Toalla Femenina MIMOSA Nocturna con Alas 8 un.,MIMOSA,https://www.devoto.com.uy/toalla-femenina-mimosa-nocturna-con-alas-8-un-900076/p,116.0
97,228.0,950200,Desodorante LADY SELBY aerosol 180 ml,LADY SELBY,https://www.devoto.com.uy/desodorante-lady-selby-aerosol-180-ml-950200/p,232.0
98,228.0,950205,Desodorante DR. SELBY marrón Aerosol 90 ml,BODY SELBY,https://www.devoto.com.uy/desodorante-body-selby-marron-aerosol-90-ml-950205/p,192.0
99,228.0,950207,Desodorante DR. SELBY Rojo exótico 90 ml,BODY SELBY,https://www.devoto.com.uy/desodorante-body-selby-rojo-exotico-ae-90-ml-950207/p,192.0
100,228.0,950208,Desodorante DR. SELBY Attraction aerosol 90 ml,BODY SELBY,https://www.devoto.com.uy/desodorante-body-selby-attraction-aerosol-90-ml-950208/p,192.0
101,267.0,999711,Repasador felpudo Mod. Fiori 46x65cm,-,https://www.devoto.com.uy/repasador-felpudo-mod-fiori-46x65cm-999711/p,89.0
102,267.0,999558,Cigarrillo ALASKA Box 10,ICEBALL,https://www.devoto.com.uy/cigarrillo-alaska-box-10-999558/p,120.0
103,267.0,999555,Cigarrillo FIESTA 11,FIESTA 10,https://www.devoto.com.uy/cigarrillo-fiesta-11-999555/p,120.0
104,267.0,999223,Almohada  HOME visco cervical 40 x 60 cm,HOME,https://www.devoto.com.uy/almohada-home-visco-cervical-40-x-60-cm-999223/p,1290.0
105,267.0,999134,Juego de sábanas HOME king size en microfibra Azul petróleo,HOME,https://www.devoto.com.uy/juego-de-sabanas-king-size-en-microfibra-azul-petroleo-999134/p,1390.0
106,267.0,999132,Juego de sábanas HOME king size microfibra gris,HOME,https://www.devoto.com.uy/juego-de-sabanas-home-microfibra-celeste-king-size-999132/p,1390.0
107,267.0,999131,Juego de sábanas HOME king size en microfibra Beige,HOME,https://www.devoto.com.uy/juego-de-sabanas-king-size-en-microfibra-beige-999131/p,1390.0
108,267.0,999129,Juego de sábanas HOME king size en microfibra Blanco,HOME,https://www.devoto.com.uy/juego-de-sabanas-king-size-en-microfibra-blanco-999129/p,1390.0
109,267.0,999125,Juego de sábanas 2 plazas en microfibra Azul petróleo,HOME,https://www.devoto.com.uy/juego-de-sabanas-2-plazas-en-microfibra-azul-petroleo-999125/p,1190.0
110,267.0,999122,Juego de sábanas 2 plazas en microfibra Beige,HOME,https://www.devoto.com.uy/juego-de-sabanas-2-plazas-en-microfibra-beige-999122/p,1190.0
111,268.0,666992,Azúcar blanca PRECIO LÍDER 1 kg,PRECIO LÍDER,https://www.devoto.com.uy/azucar-blanca-precio-lider-1-kg-666992/p,48.0
112,268.0,666535,Salsa Soja Tradicional PRECIO LIDER 500 ml,PRECIO LÍDER,https://www.devoto.com.uy/salsa-soja-tradicional-precio-lider-500-ml-666535/p,179.0
113,268.0,666534,Salsa de soja tradicional precio lider pet 150 ml,PRECIO LÍDER,https://www.devoto.com.uy/salsa-de-soja-tradicional-precio-lider-pet-150-ml-666534/p,99.0
114,268.0,666080,Pan tortuga PRECIO LIDER 6 un.,PRECIO LÍDER,https://www.devoto.com.uy/pan-tortuga-precio-lider-6-un-666080/p,104.0
115,268.0,665330,Dulce de leche PRECIO LÍDER 1 kg,PRECIO LÍDER,https://www.devoto.com.uy/dulce-de-leche-precio-lider-1-kg-665330/p,190.0
116,268.0,663959,Maní con chocolate PRECIO LIDER,PRECIO LÍDER,https://www.devoto.com.uy/mani-con-chocolate-precio-lider-663959/p,75.0
117,268.0,663932,Café PRECIO LIDER 200 g,PRECIO LÍDER,https://www.devoto.com.uy/cafe-precio-lider-200-g-663932/p,415.0
118,268.0,663541,Durazno en almibar en mitades PRECIO LÍDER 830 g,PRECIO LÍDER,https://www.devoto.com.uy/durazno-en-almibar-en-mitades-precio-lider-830-g-663541/p,109.0
119,268.0,663303,Budín chocolate PRECIO LIDER 200 g,PRECIO LÍDER,https://www.devoto.com.uy/budin-chocolate-precio-lider-200-g-663303/p,69.0
120,268.0,663150,Edulcorante liquido PRECIO LÍDER 600 cc,PRECIO LÍDER,https://www.devoto.com.uy/edulcorante-liquido-precio-lider-600-cc-663150/p,147.0
121,291.0,511692,Vainilla LA MANCHEGA 60 ml,LA MANCHEGA,https://www.devoto.com.uy/vainilla-la-manchega-fco-60-ml-511692/p,129.0
122,291.0,720040,Almendra pelada RIO DE LA PLATA 100 g,RIO DE LA PLATA,https://www.devoto.com.uy/almendra-pelada-rio-de-la-plata-100-g-720040/p,165.0
123,291.0,413485,Almendra Natural Pelada 150 g,-,https://www.devoto.com.uy/almendra-natural-pelada-pt-150-g-413485/p,249.0
124,291.0,421207,Nueces Peladas MARIPOSA 200 g,-,https://www.devoto.com.uy/nueces-peladas-mariposa-200-g-421207/p,349.0
125,291.0,510221,Avena laminada LA ABUNDANCIA 400 g,LA ABUNDANCIA,https://www.devoto.com.uy/avena-laminada-la-abundancia-400-g-510221/p,89.0
126,291.0,666992,Azúcar blanca PRECIO LÍDER 1 kg,PRECIO LÍDER,https://www.devoto.com.uy/azucar-blanca-precio-lider-1-kg-666992/p,48.0
127,291.0,430006,Arandano importado petaca 125 g,Frutas,https://www.devoto.com.uy/arandano-importado-petaca-125g-430006/p,129.0
